Rank,Player (Bye),POS,Yahoo,Sleeper,RTSports,AVG,Real-Time
115,Jared Goff   DET (6),QB16,116,129,103,116.0,123  -8
116,Aaron Jones Sr.   MIN (6),RB41,124,107,117,116.0,121  -5
117,Josh Downs   IND (13),WR46,119,124,106,116.3,103  +14
118,Jayden Reed   GB (11),WR47,126,110,114,116.7,117  +1
119,Dallas Goedert   PHI (10),TE15,106,117,136,119.7,113  +6
120,Houston Texans DST   (8),DST1,90,126,154,123.3,97  +23
121,Los Angeles Rams DST   (11),DST2,88,122,161,123.7,96  +25
122,Brandon Aubrey   DAL (14),K1,80,156,142,126.0,91  +31
123,Xavier Worthy   KC (5),WR48,153,120,124,132.3,137  -14
124,Zach Charbonnet   SEA (11),RB42,155,125,121,133.7,130  -6
125,Seattle Seahawks DST   (11),DST3,107,128,171,135.3,118  +7
126,Kyler Murray   MIN (6),QB17,111,168,129,136.0,124  +2
127,Jordan Love   GB (11),QB18,134,139,137,136.7,140  -13
128,Stefon Diggs   WAS (7),WR49,138,140,134,137.3,104  +24
129,Denver Broncos DST   (10),DST4,102,141,170,137.7,110  +19
130,Oronde Gadsden II   LAC (7),TE16,139,103,175,139.0,179  -49
131,Baker Mayfield   TB (10),QB19,152,149,120,140.3,147  -16
132,Brian Robinson Jr.   ATL (11),RB43,133,142,149,141.3,178  -46
133,Tyler Allgeier   ARI (14),RB44,171,123,131,141.7,139  -6
134,Malik Willis   MIA (6),QB20,132,147,146,141.7,166  -32
135,Romeo Doubs   NE (11),WR50,189,112,127,142.7,149  -14
136,Hunter Henry   NE (11),TE17,158,119,153,143.3,151  -15
137,KC Concepcion   CLE (11),WR51,186,115,132,144.3,138  -1
138,Tyrone Tracy Jr.   NYG (8),RB45,177,135,122,144.7,136  +2
139,Philadelphia Eagles DST   (10),DST5,128,134,181,147.7,126  +13
140,Brenton Strange   JAC (7),TE18,156,130,157,147.7,159  -19
141,Tyler Shough   NO (8),QB21,170,146,130,148.7,161  -20
142,Matthew Golden   GB (11),WR52,176,137,133,148.7,128  +14
143,Alvin Kamara   NO (8),RB46,149,176,123,149.3,142  +1
144,Woody Marks   HOU (8),RB47,190,144,116,150.0,158  -14
145,Rashid Shaheed   SEA (11),WR53,163,163,125,150.3,168  -23
146,Chig Okonkwo   WAS (7),TE19,146,166,141,151.0,146
147,Sam Darnold   SEA (11),QB22,129,178,150,152.3,169  -22
148,Juwan Johnson   NO (8),TE20,182,150,126,152.7,150  -2
149,Cameron Dicker   LAC (7),K2,131,158,173,154.0,127  +22
150,Jonah Coleman   DEN (10),RB48,183,132,147,154.0,156  -6
151,Kenyon Sadiq   NYJ (13),TE21,168,136,166,156.7,177  -26
152,Ka'imi Fairbairn   HOU (8),K3,122,173,178,157.7,125  +27
153,Khalil Shakir   BUF (7),WR54,197,133,144,158.0,162  -9
154,Deebo Samuel Sr.   SF (8),WR55,154,181,140,158.3,143  +11
155,Tyjae Spears   TEN (9),RB49,199,154,128,160.3,181  -26
156,Jayden Higgins   HOU (8),WR56,202,131,148,160.3,144  +12
157,Chris Rodriguez Jr.   JAC (7),RB50,196,148,138,160.7,129  +28
158,Isiah Pacheco   DET (6),RB51,147,204,135,162.0,155  +3
159,Jason Myers   SEA (11),K4,140,159,187,162.0,132  +27
160,Jauan Jennings   MIN (6),WR57,159,157,172,162.7,188  -28
161,C.J. Stroud   HOU (8),QB23,142,189,158,163.0,175  -14
162,Jalen Coker   CAR (5),WR58,204,143,143,163.3,152  +10
163,Bryce Young   CAR (5),QB24,130,199,168,165.7,248  -85
164,David Njoku   LAC (7),TE22,135,198,165,166.0,176  -12
165,New England Patriots DST   (11),DST6,145,153,200,166.0,131  +34
166,Cam Ward   TEN (9),QB25,150,190,162,167.3,189  -23
167,De'Zhaun Stribling   SF (8),WR59,193,162,151,168.7,163  +4
168,Travis Hunter   JAC (7),WR60,151,152,204,169.0,170  -2
169,Denzel Boston   CLE (11),WR61,179,151,179,169.7,174  -5
170,Dylan Sampson   CLE (11),RB52,185,164,160,169.7,183  -13
171,Fernando Mendoza   LV (13),QB26,127,195,189,170.3,194  -23
172,Cam Little   JAC (7),K5,157,174,182,171.0,134  +38
173,T.J. Hockenson   MIN (6),TE23,173,182,159,171.3,173
174,AJ Barner   SEA (11),TE24,144,138,233,171.7,180  -6
175,Dalton Schultz   HOU (8),TE25,164,160,191,171.7,214  -39
176,Omar Cooper Jr.   NYJ (13),WR62,184,155,180,173.0,201  -25
177,Keaton Mitchell   LAC (7),RB53,195,188,139,174.0,145  +32
178,Daniel Jones   IND (13),QB27,162,193,167,174.0,184  -6
179,James Conner   ARI (14),RB54,143,165,217,175.0,216  -37
